,show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
5947,s5933,Movie,LOL,Lisa Azuelos,"Miley Cyrus, Demi Moore, Ashley Greene, Thomas Jane, Jay Hernandez, Marlo Thomas, Gina Gershon",United States,2012,PG-13,97 min,"Comedy, Drama","Anne (Demi Moore) deals with life as a working mother and raising her teen, Lola, (Miley Cyrus) who seems to be growing up faster than expected."
5949,s5935,Movie,Kuch Kuch Hota Hai,Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji, Farida Jalal, Reema Lagoo, Himani Shivpuri, Johnny Lever, Anupam Kher, Salman Khan, Archana Puran Singh, Sana Saeed",India,1998,G,185 min,"Comedy, Drama, Music Videos and Concerts","'Kuch Kuch Hota Hai' is a Bollywood blockbuster of all times, a coming-of-age rom-com involving two love triangles set in different phases of life. Two best friends Anjali and Rahul are set apart, when a new girl named, Tina, enters Rahul's life. Years later, deceased Tina's daughter takes it upon herself to reunite the estranged lovers. But, Anjali is engaged to Aman. Who will Anjali choose now?"
5954,s5940,Movie,Kabhi Khushi Kabhie Gham,Karan Johar,"Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Kareena Kapoor, Farida Jalal, Alok Nath, Johnny Lever, Jaya Bhaduri Bachchan",India,2001,G,209 min,"Drama, Romance","Yashvardhan Raichand is a snobbish man, he breaks ties with his elder son Rahul, for marrying a girl with lower social status. When his younger son Rohan returns home, he is upset to know that his brother no longer lives with them. Rohan decides to reunite his family and goes to London and finds Rahul. But, the question is will he be successful in convincing his egoistic father for a reunion?"
5955,s5941,Movie,Kabhi Alvida Naa Kehna,Karan Johar,"Shah Rukh Khan, Rani Mukerji, Preity Zinta, Abhishek Bachchan, Arjun Rampal, Amitabh Bachchan",India,2006,13+,192 min,Romance,"The movie sheds light on two suffocating marriages which depart lives and drift them towards an extramarital affair outside to fill the gap. Starring Shahrukh Khan, Abhishek, Preity and Rani in a romantic drama depicting true lives bounded in a relationship which has released its warmth over a period. Will these four be able to find their way out of their marriages or will accept their fate?"
5974,s5959,Movie,Duniya,Ramesh Talwar,"Ashok Kumar, Amrita Singh, Prem Chopra, Amrish Puri, Pran, Satyendra Kapoor, Mac Mohan, Javed Khan, Sulbha Deshpande, Dilip Kumar",India,1984,G,170 min,"Drama, International","The story revolves around Mohan (Dilip Kumar), a genuine and conscientious man, who is falsely framed for the murder of his good friend who also happens to be his boss. The trio that killed his friend and framed him are Mohan's fellow employees. He serves his sentence and is finally released after many years and sets out for revenge by going after the ones that caused him his misery."
5984,s5969,Movie,Brothers,Karan Malhotra,"Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez, Shefali Shetty, Kiran Kumar, Ashutosh Rana","India, United States",2015,13+,155 min,"Action, Drama, Sports","Fate makes two estranged brothers, David (Akshay Kumar) and Monty, (Siddarth Malhotra) clash after years of seeking redemption after their mother's accidental death. While his daughter is David's motivation, Monty, the internet sensation will go to any length for glory. Will this fighter brother duo manage to find peace and make up for their past?"
6021,s6004,Movie,Prem Qaidi,K. Muralimohana Rao,"Karisma Kapoor, Harish, Paresh Rawal, Asrani, Dalip Tahil, Rama Vij, Shafi Inamdar, Bharat Bhushan, Anjana Mumtaz, J.D. Chakravarthy, Harish Patel, Narsing Yadav, Ali",India,1991,13+,157 min,"Action, Romance","A teenage couple fall in love, but their relationship is opposed by the girl's father because the boy is not from a wealthy family."
6031,s6013,Movie,Ek Tha Tiger (English Subtitled),Kabir Khan,"Salman Khan, Katrina Kaif, Girish Karnad, Ranveer Shorey, Roshan Seth",India,2012,NR,133 min,"Action, International, Romance",RAW agent Tiger is on a mission to retrieve information from a scientist in Dublin.
6222,s6213,Movie,Suck,Rob Stefaniuk,"Rob Stefaniuk, Jessica Paré, Henry Rollins, Dave Foley, Paul Anthony, Mike Lobel",Canada,2009,R,91 min,"Arts, Entertainment, and Culture, Comedy, Horror","A rock'n'roll vampire spoof about a down and out band, The Winners, that will do anything for a record deal. When their disgruntled manager tells them that they are getting ""long in the tooth"", he doesn't know how prophetic he is."
6258,s6249,Movie,Copper Bill,Brett Bentman,"Dustin Rhodes, Thom Hallum, Arthur RedCloud, Katy Harris, Billy Blair",United States,2020,16+,84 min,"Action, Drama, Suspense",Two thieves (AEW's Dustin Rhodes and Thom Hallum) attempt to steal 80 million dollars of hidden Texas drug money from the famed ranch belonging to a dead member of the Cowboy Mafia.
6277,s6267,Movie,The Tomorrow War,Chris McKay,"Chris Pratt, J.K. Simmons, Yvonne Strahovski, Sam Richardson, Betty Gilpin, Edwin Hodge, Jasmine Mathews, Ryan Kiera Armstrong, Mary Lynn Rajskub",United States,2021,PG-13,138 min,"Action, Adventure, Comedy","Time travelers arrive from 2051 to deliver an urgent message: 30 years in the future mankind is losing a war against a deadly alien species. The only hope for survival is for soldiers and civilians to be transported to the future and join the fight. Determined to save the world for his daughter, Dan Forester teams up with a brilliant scientist and his estranged father to rewrite the planet’s fate."
6307,s6297,Movie,The Girl With The Dragon Tattoo,David Fincher,"Daniel Craig, Rooney Mara, Christopher Plummer, Robin Wright, Steven Berkoff, Joely Richardson, Stellan Skarsgård, Yorick van Wageningen","United States, Sweden, Norway",2011,R,158 min,"Action, Drama, Suspense","Disgraced journalist Mikael Blomkvist (Daniel Craig) accepts an invitation to investigate a forty year old unsolved murder by Swedish industrialist Henrik Vanger (Christopher Plummer). Meanwhile, tattooed hacker Lisbeth Salander (Rooney Mara), hired to investigate Blomkvist, discovers the truth behind his fall from grace. Thrown together by fate, the duo tap into a vein of unfathomable iniqui.."
6314,s6306,Movie,Minority Report,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max Von Sydow, Lois Smith",United States,2002,PG-13,145 min,"Drama, Science Fiction","Set in Washington D.C. in 2054, where police utilize a psychic technology to arrest and convict murderers before they commit their crime. Tom Cruise plays the head of this Precrime unit and is himself accused of the future murder of a man he hasn't even met."
6350,s6342,Movie,Unwanted,Edon Rizvanolli,"Adriana Matoshi, Jason de Ridder, Niki Verkaar, Hugo Koolschijn, Celia Nufaar","Kosovo, Netherlands",2018,16+,82 min,Drama,"A lonely boy, who lives in Amsterdam with his refugee mother from Kosovo, keeps getting into trouble while yearning for her acceptance. But the traumas caused by the war, which his mother hides away from him, turn his world upside down."
6394,s6386,TV Show,El Cid,,,Spain,2021,16+,2 Seasons,Drama,"After the death of their father, Sancho, Alfonso and García became respectively the King of Castile, the King of León and the King of Galicia. The conflicts between them will transform the Iberian Peninsula into a battlefield. Ruy is knighted. He is closer to accomplish his father's unfulfilled dream, but along the way he will have to sacrifice what he loves the most."
6417,s6410,Movie,Our Friend,Gabriela Cowperthwaite,"Jason Segel, Dakota Johnson, Casey Affleck",United States,2021,R,126 min,"Arts, Entertainment, and Culture, Drama","After Nicole and Matthew receive life-altering news, the couple finds unexpected support from their friend, Dane, who puts his own life on hold to move into their family home."
6505,s6499,Movie,Carmen,Vicente Aranda,"Paz Vega, Leonardo Sbaraglia, Antonio Dechent, Ginés García Millán","Spain, United Kingdom, Italy",2003,18+,115 min,"Drama, Romance","The free and enigmatic nature of Carmen, a woman of great beauty and passionate character, makes José, a military man, become the victim and protagonist of turbulent love affairs and uncontrollable passions, immersed in a chain of fatalism, jealousy and blood."
6558,s6552,TV Show,Modern Love,,"Minnie Driver, Kit Harington, Dominique Fishback, Anna Paquin, Marquis Rodriguez, Lucy Boynton, Gbenga Akinnagbe, Garrett Hedlund, Zoë Chao, Tobias Menzies, Sophie Okonedo, Isaac Powell, Zane Pais, James Scully, Lulu Wilson, Grace Edwards, Don Wycherley, Tom Burke, Jack Reynor, Miranda Richardson",United States,2021,16+,2 Seasons,"Comedy, Drama, Romance","Love breaks all the rules. Each episode of this anthology series brings to life different stories of relationships, connections, betrayals and revelations – all inspired by true events."
6562,s6556,Movie,"Lo and Behold, Reveries of the Connected World",Werner Herzog,"Elon Musk, Dr. Robert Kahn, Kevin Mitnick",United States,2016,PG-13,98 min,Documentary,"Oscar®-nominated documentarian Werner Herzog (Grizzly Man, Cave of Forgotten Dreams) chronicles the virtual world. He leads viewers on a journey that reveals the ways the online world has transformed how virtually everything in the real world works."
6570,s6564,Movie,In the Year 2889,Larry Buchanan,"Paul Petersen, Quinn O'Hara, Charla Doherty, Neil Fletcher, Hugh Feagin, Bill Thurman",United States,1967,13+,80 min,"Horror, Science Fiction","After a nuclear war has destroyed most of humanity, a small group of survivors gathers in the safety of an isolated valley. But their haven is threatened by radioactive fallout, internal rivalries and a hideous, mutated monster lurking in the woods."
6580,s6574,Movie,Forward. Side. Close!,Alexander Peter Lercher,"Heinz Trixner, Christian Futterknecht, Uschi Glas, Sandra Lipp, Julius Kuhn",Austria,2016,13+,103 min,"Comedy, Drama","A reclusive doctor receives a visit from his childhood friend, who teaches him how to live and love again."
6613,s6608,Movie,Zabardast,Mahesh Kothare,"Pushkar Jog, Manasi Naik, Sanjay Narvekar, Makarand Anaspure, Kishori Ambiye, Priya Berde, Abhiram Bhadkamkar, Vijay Chavan, Bharat Jadhav, Siddarth Jadhav, Rasika Joshi, Mahesh Kothare, Santosh Pawar, Aditya Redij, Sanjiv Talpade, Sunil Tawde, Yohana Vachhani",India,2007,G,142 min,"Arts, Entertainment, and Culture","Pushkar finds a magic coat that fulfils wishes once someone wears it. Using it, he decides to impress the girl he loves and enter a dance reality show with her. Will he win the competition?"
6621,s6615,Movie,Toofaan,Rakeysh Omprakash Mehra,"Farhan Akhtar, Mrunal Thakur, Paresh Rawal, Supriya Pathak Kapur, Hussain Dalal, Dr.Mohan Agashe, Darshan Kumaar",India,2021,13+,161 min,Sports,"An inspiring story about an orphan boy from the streets of Dongri, who grows up to become a local goon of his area and how his life changes after he meets the young and compassionate Ananya, who guides him towards the right path and makes him realize his true calling i.e boxing. Toofaan is set in Mumbai, It is a true cosmopolitan city and a melting pot for various cultures and religion."
6652,s6645,Movie,Full 3 Dhamaal,Mahesh Kothare,"Makarand Anaspure, Prasad Oak, Priya Berde, Suchitra Bandekar, Abhiram Bhadkamkar, Kishori Godbole, Dilip Prabhavalkar, Siddarth Jadhav, Ameya Hunaswadkar, Rasika Joshi, Savita Malpekar, Kranti Redkar, Prema Sakhardande",India,2008,G,111 min,Comedy,"Three friends who had plenty of fun while in college end up living bothersome lives after marriage. They are held down by family traditions and customs. When they meet again, they decide to go back to their old ways while their husbands are away."
6667,s6660,Movie,Anari,K. Muralimohana Rao,"Venkatesh Daggubati, Karisma Kapoor, Johnny Lever, Rakhee Gulzar, Suresh Oberoi, Gulshan Grover, Laxmikant Berde, Priya Arun, Beena Banerjee, Adi Irani, Shashi Kiran, Sudha Rani, Raju Shrestha, Subbiraj",India,1993,G,171 min,"Comedy, Drama, Romance","A rich girl appoints a simpleton, as her bodyguard. She soon falls in love with him, which creates havoc in his life."
6700,s6693,Movie,Creditors,Ben Cura,"Christian McKay, Andrea Deck, Ben Cura","United Kingdom, Spain",2016,16+,78 min,"Drama, Romance","Actor Ben Cura's directorial debut ""Creditors"", based on August Strindberg's 1888 play, is a modern re-telling of his story of love, betrayal, revenge and psychological manipulation, a ""sometimes angry and surprising film"", ""what a Terrence Malick film would look like in black and white"" and ""an incisive"", ""thought-provoking film which questions gender roles, female sexuality and male anxieties""."
6817,s6811,Movie,Capone,Josh Trank,"Tom Hardy, Linda Cardellini, Matt Dillon, Kyle MacLachlan","Canada, United States",2020,R,104 min,"Arts, Entertainment, and Culture, Drama, Suspense","A ruthless businessman and bootlegger who ruled Chicago with an iron fist, Al ""Fonzo"" Capone (Tom Hardy) was the most infamous and feared gangster of American lore. At the age of 47, following nearly a decade of imprisonment, dementia rots Capone's mind and his past becomes present as harrowing memories of his violent and brutal origins melt into his waking life."
6834,s6828,Movie,At the Fork,John Papola,"John Papola, Lisa Versaci, Kim Sturla, Jayson Lusk, Temple Grandin, Malcolm DeKryger",United States,2016,16+,95 min,"Documentary, Special Interest","Filmmaker and omnivore John Papola and his vegetarian wife Lisa give a timely, unbiased look at how farm animals are raised for consumption. With unprecedented access to large-scale conventional farms, Papola asks the tough questions behind every hamburger, glass of milk and baby-back rib."
6878,s6872,Movie,A Lonely Woman,Juven Cavazos,"Youlika Skafida, Beau Yotty",United States,2018,13+,105 min,Drama,"A beautiful, docile and timid woman, transforms into a vengeful gunfighter in search for a group of murderers, but her villainous enemy is closer than she thinks."
6895,s6888,Movie,Jatra,Kedar Shinde,"Bharat Jadhav, Siddarth Jadhav, Viju Khote, Sanjay Khapre, Priya Berde, Vijay Chavan, Upendra Limaye, Kranti Redkar, Amir Tadwalkar, Sunil Tawde, Kushal Badrike, Munir Baghman, Mohan Bagode, Vandan Bakmis, Shankar Bhake, Jaiwant Bhalekar, Dilip Budhkar, Kishore Chougule, Kamlakar Satputhe",India,2005,G,138 min,Comedy,"In this comedy drama, when two villages (Hyalagaad and Tyalagaad) fight over the right to host a religious fair, they conduct a race to make a decision. But both sides are willing to do anything to win."
6904,s6897,Movie,Tyfelstei - an alpine horror tale,"Chris Bucher, Severin Gmünder","Tobias Fischer, Lisa Maria Bärenbold, Walter Andreas Müller, Hans-Peter Ulli, Joel Singh, Isabelle Flachsmann, Jonathan Konrad, Chris Bucher",Switzerland,2021,16+,104 min,"Horror, Suspense","After a serious car accident, Michael Dorn wakes up in a remote mountain village in the Swiss Alps. Severe storms have cut the place off from the outside world. Plagued by bad nightmares, Michael uncovers sinister machinations from the past, when the villagers made a pact with the devil. To survive, he must not only break the village's curse, but face ghosts of his own past."
